job_title,experience_level,employment_type,company_size,company_location,employee_residence,industry,remote_ratio,years_experience,education_level,primary_language,has_ml_in_title,manages_people,team_size,certifications_count,weekly_hours,uses_ai_tools_daily,ai_tools_hours_per_week,salary_currency,salary_usd,equity_offered_pct,bonus_pct,job_satisfaction_score,interviews_to_offer,switched_jobs_last_year,upskilling_hours_per_month,fears_ai_automation_score
Data Scientist,Entry,Full-time,M,IN,IN,Technology,100,1.1,Bachelors,SQL,False,True,4,1,42.9,False,2.9,INR,24840,0.19,6.1,5.7,6,False,16.2,5.2
Machine Learning Engineer,Entry,Freelance,L,US,US,Energy,100,0.1,Bachelors,Python,True,False,8,0,37.1,False,4.4,USD,128115,0.056,6.0,7.6,4,False,9.7,1.8
Data Engineer,Senior,Full-time,S,IN,IN,Technology,50,11.4,Masters,R,False,False,7,0,51.6,True,6.8,INR,47620,0.496,15.7,6.9,6,False,8.6,2.7
Data Analyst,Mid,Full-time,M,DE,DE,Manufacturing,100,3.9,Bachelors,Python,False,False,10,2,56.8,True,11.9,EUR,47829,0.369,8.6,4.3,6,True,5.3,4.0
AI Engineer,Lead,Full-time,L,US,US,Finance,100,15.9,Bachelors,Python,True,True,14,3,47.8,True,11.5,USD,221527,0.016,14.0,4.9,6,True,12.7,5.2
Machine Learning Engineer,Mid,Full-time,M,GB,GB,Education,100,3.3,Bachelors,Python,True,False,18,1,44.4,True,12.3,GBP,95058,0.0,2.9,6.1,7,False,3.3,4.5
Data Engineer,Senior,Full-time,M,US,US,Education,0,10.1,Bootcamp,SQL,False,False,4,2,41.2,False,1.3,USD,93560,0.0,13.4,7.0,6,False,6.6,4.0
Data Analyst,Senior,Full-time,M,PL,PL,Energy,50,6.5,Bachelors,Python,False,False,8,3,41.2,False,5.0,PLN,49555,0.053,9.2,4.8,7,True,12.8,5.5
Business Intelligence Analyst,Senior,Full-time,M,IN,IN,Finance,50,11.2,Bachelors,Python,False,True,12,3,48.8,False,2.3,INR,30459,0.133,7.3,6.3,6,False,10.7,6.1
Analytics Engineer,Senior,Full-time,L,IN,IN,Healthcare,0,11.2,Bootcamp,R,False,False,6,4,56.3,True,4.2,INR,39008,0.02,10.9,5.8,4,True,6.3,2.6
AI Engineer,Mid,Full-time,S,IN,IN,Finance,0,6.2,Bootcamp,SQL,True,False,5,2,40.2,False,2.6,INR,24260,0.768,5.9,4.8,5,True,8.8,4.1
Data Engineer,Entry,Full-time,M,US,GB,Media,50,0.1,Masters,Python,False,False,9,4,46.9,True,18.5,USD,113587,0.054,13.3,7.6,4,False,13.5,7.0
Computer Vision Engineer,Entry,Full-time,M,NL,US,Retail,50,0.3,Self-taught,Julia,True,False,6,1,44.5,False,1.5,EUR,63639,0.18,9.5,8.4,4,False,9.5,4.7
AI Engineer,Mid,Full-time,M,IN,IN,Technology,0,7.2,Bachelors,Python,True,False,12,0,41.2,True,7.9,INR,38694,0.076,9.0,8.2,5,False,8.7,3.3
Machine Learning Engineer,Lead,Full-time,S,IN,IN,Media,100,11.3,Masters,Python,True,True,6,4,38.5,False,5.2,INR,45726,1.225,13.1,7.0,3,False,1.3,2.6
Business Intelligence Analyst,Mid,Part-time,M,US,US,Finance,0,6.3,Bachelors,Python,False,False,5,3,47.2,False,3.4,USD,45653,0.101,10.2,7.3,6,False,13.1,5.3
Data Engineer,Lead,Full-time,L,FR,FR,Technology,100,15.0,Bachelors,Python,False,True,8,2,43.3,False,3.3,EUR,139305,0.001,25.9,7.6,5,False,11.3,6.2
MLOps Engineer,Mid,Full-time,L,NL,NL,Government,100,5.8,Self-taught,SQL,False,False,6,1,47.6,False,0.2,EUR,53183,0.029,7.6,5.8,3,True,8.8,6.9
Data Engineer,Executive,Full-time,M,IN,US,Technology,100,17.3,Masters,Python,False,True,7,4,36.5,True,8.8,INR,76753,0.105,16.9,6.7,2,False,11.4,3.2
Data Analyst,Lead,Full-time,L,AU,AU,Media,100,14.0,PhD,SQL,False,True,7,1,41.4,True,12.6,AUD,135285,0.006,21.4,7.6,8,False,2.9,5.9
MLOps Engineer,Entry,Full-time,S,PL,PL,Education,50,3.0,Masters,Python,False,False,8,4,42.2,True,11.4,PLN,34110,0.278,3.3,6.9,3,False,6.2,6.6
Data Analyst,Senior,Full-time,M,US,US,Technology,0,11.4,PhD,Python,False,False,10,3,53.0,True,7.9,USD,172487,0.222,11.8,4.5,6,True,9.4,5.7
Machine Learning Engineer,Lead,Full-time,M,IN,US,Finance,100,11.3,PhD,Python,True,True,8,4,50.7,True,25.0,INR,69827,0.083,13.7,7.2,10,False,3.9,3.5
AI Engineer,Mid,Contract,M,CA,US,Consulting,100,5.6,Self-taught,Python,True,True,8,2,45.3,False,0.0,CAD,91428,0.038,6.6,5.3,3,True,10.6,5.0
Data Analyst,Mid,Contract,M,IN,IN,Media,0,6.5,Bachelors,Python,False,False,4,0,43.5,False,2.3,INR,20358,0.075,15.4,9.3,3,False,12.6,7.9
MLOps Engineer,Senior,Full-time,M,BR,BR,Technology,0,7.2,PhD,Python,False,False,7,0,57.0,False,2.2,BRL,47335,0.108,13.6,5.9,4,True,3.7,4.3
AI Engineer,Senior,Full-time,L,GB,GB,Technology,100,10.1,Masters,Python,True,False,9,2,42.3,True,17.1,GBP,151394,0.047,5.8,8.0,6,True,11.2,3.1
AI Engineer,Senior,Full-time,S,US,US,Healthcare,0,10.3,Masters,Python,True,True,12,2,46.9,True,10.0,USD,195720,0.525,9.9,5.6,8,False,12.6,2.9
Data Engineer,Entry,Full-time,M,BR,BR,Finance,0,0.7,Bachelors,Python,False,False,5,2,41.5,True,13.0,BRL,29965,0.037,2.0,5.3,3,False,21.7,4.3
Machine Learning Engineer,Lead,Freelance,L,US,US,Retail,0,12.5,PhD,Python,True,True,8,2,48.8,True,8.3,USD,276910,0.025,11.6,6.1,11,True,4.3,3.9
Machine Learning Engineer,Entry,Full-time,S,US,US,Finance,0,0.4,Masters,Python,True,False,10,1,53.3,True,13.4,USD,104896,0.272,6.6,6.4,3,True,9.2,5.9
Machine Learning Engineer,Mid,Full-time,L,CA,CA,Technology,0,5.8,Bachelors,Scala,True,False,10,2,49.8,False,0.0,CAD,83238,0.03,8.7,5.2,7,False,8.6,8.5
Research Scientist,Senior,Full-time,M,BR,BR,Consulting,100,9.5,Masters,Python,True,False,7,3,42.4,True,14.5,BRL,38007,0.081,9.3,6.2,10,False,6.4,4.0
AI Engineer,Mid,Full-time,M,US,US,Technology,0,4.2,Bachelors,Java,True,False,6,1,46.1,False,1.2,USD,169730,0.047,7.0,6.7,7,False,2.0,4.0
Machine Learning Engineer,Lead,Full-time,L,AU,AU,Energy,0,14.7,PhD,Python,True,True,5,1,44.8,True,16.9,AUD,179645,0.023,21.1,5.4,4,True,3.9,2.9
Data Scientist,Mid,Full-time,M,US,US,Healthcare,0,5.3,Bachelors,R,False,False,11,2,41.8,True,6.4,USD,120239,0.015,8.7,7.3,3,False,3.3,6.0
Analytics Engineer,Mid,Freelance,M,GB,GB,Healthcare,100,9.6,Masters,Scala,False,False,10,1,59.8,True,12.4,GBP,60384,0.057,13.5,5.8,4,False,2.5,7.3
Machine Learning Engineer,Senior,Full-time,L,US,US,Finance,100,11.8,Bachelors,Python,True,False,9,2,45.5,True,14.8,USD,245491,0.003,16.0,6.5,3,False,2.6,3.4
Data Engineer,Senior,Full-time,M,GB,GB,Retail,0,11.7,Bachelors,Python,False,False,9,3,45.9,True,9.3,GBP,84140,0.064,9.3,6.7,3,True,5.8,1.2
Machine Learning Engineer,Mid,Full-time,L,PL,GB,Technology,100,7.9,Masters,Python,True,False,10,2,52.4,True,22.6,PLN,99236,0.016,14.7,5.4,7,True,6.0,6.2
Data Scientist,Entry,Full-time,S,IN,IN,Healthcare,100,3.0,Bachelors,Python,False,False,7,1,42.9,False,0.0,INR,20350,0.091,7.1,8.3,6,False,9.7,3.8
Business Intelligence Analyst,Mid,Full-time,M,US,US,Finance,0,10.0,Bachelors,Python,False,False,5,1,52.6,True,13.1,USD,97474,0.174,2.7,6.7,6,False,16.9,6.0
Data Science Manager,Mid,Full-time,M,FR,FR,Retail,50,7.4,Bachelors,Python,False,False,13,2,43.5,False,0.8,EUR,81977,0.0,8.6,7.5,4,False,14.6,6.0
Data Scientist,Lead,Full-time,M,US,US,Finance,100,16.6,Bachelors,Java,False,True,9,2,44.1,True,11.6,USD,197149,0.0,23.9,6.1,6,True,14.7,5.3
Data Engineer,Lead,Full-time,M,US,US,Technology,100,16.2,Masters,Python,False,True,5,3,51.8,False,2.7,USD,179885,0.169,24.2,7.6,7,False,5.8,3.4
MLOps Engineer,Senior,Full-time,M,IN,IN,Retail,50,12.8,Bachelors,Python,False,False,5,1,51.2,True,6.1,INR,49581,0.153,11.9,7.7,5,False,7.3,5.2
Data Engineer,Executive,Full-time,S,US,US,Consulting,100,16.8,Bachelors,Python,False,True,7,1,49.6,True,13.5,USD,145188,0.204,17.3,3.7,8,False,6.0,5.3
AI Engineer,Mid,Part-time,M,AU,AU,Government,50,3.9,Bachelors,Python,True,True,6,1,32.7,True,7.3,AUD,48644,0.108,6.0,7.1,1,False,0.7,5.5
Machine Learning Engineer,Senior,Full-time,M,GB,BR,Consulting,100,10.6,Masters,Python,True,True,8,3,40.3,True,7.1,GBP,128061,0.012,13.9,4.3,2,False,5.1,3.9
Analytics Engineer,Mid,Full-time,L,US,BR,Government,100,9.1,Bachelors,Python,False,False,11,1,42.8,True,13.7,USD,103751,0.0,2.1,8.4,4,True,16.1,8.2
Data Science Manager,Entry,Contract,L,PL,AU,Technology,100,1.8,PhD,SQL,False,False,7,2,48.4,False,0.8,PLN,47457,0.014,8.4,4.6,5,False,5.8,7.9
Business Intelligence Analyst,Entry,Full-time,M,FR,FR,Consulting,50,1.7,Bachelors,Python,False,False,2,3,44.0,True,8.6,EUR,36703,0.114,6.5,5.0,7,True,7.9,5.7
AI Engineer,Entry,Contract,L,US,US,Manufacturing,0,3.9,PhD,Python,True,False,12,0,42.3,True,9.8,USD,84722,0.051,3.9,5.9,5,True,12.7,3.6
Data Analyst,Entry,Full-time,M,PL,PL,Healthcare,50,1.4,Masters,SQL,False,False,8,4,50.0,True,8.5,PLN,20211,0.095,4.6,4.7,8,True,9.7,7.1
Computer Vision Engineer,Executive,Full-time,M,US,US,Finance,0,20.7,Bootcamp,Python,True,True,11,2,57.1,True,5.4,USD,204902,0.036,14.9,6.5,5,True,13.6,5.1
Data Scientist,Entry,Full-time,M,US,US,Technology,0,4.6,Bachelors,Python,False,False,6,1,46.6,False,2.0,USD,94426,0.206,6.1,6.1,6,True,8.9,4.8
Data Engineer,Lead,Full-time,M,US,US,Retail,0,12.0,Masters,SQL,False,True,5,0,46.1,False,5.0,USD,213117,0.239,11.2,6.2,7,False,7.2,4.4
Data Engineer,Lead,Full-time,L,DE,AU,Consulting,100,17.8,PhD,Java,False,True,11,1,41.6,True,14.9,EUR,191241,0.036,11.6,7.9,6,False,5.2,4.7
Research Scientist,Mid,Part-time,S,US,US,Technology,0,3.9,Self-taught,Python,True,False,8,1,53.2,True,11.7,USD,47234,0.137,7.4,4.9,11,True,16.3,6.3
Machine Learning Engineer,Mid,Full-time,M,DE,DE,Retail,50,7.4,PhD,R,True,False,12,4,36.1,True,20.2,EUR,90333,0.071,10.4,5.6,10,False,1.2,1.0
Data Scientist,Senior,Full-time,M,CA,CA,Manufacturing,50,9.9,Self-taught,Python,False,False,8,2,47.9,True,0.5,CAD,67204,0.0,13.4,6.6,8,False,9.1,3.6
Data Scientist,Mid,Full-time,M,SG,SG,Finance,0,6.6,Masters,Python,False,False,6,1,46.7,True,6.7,SGD,88207,0.052,7.4,4.3,9,True,0.0,5.0
AI Engineer,Mid,Full-time,L,CA,CA,Media,0,1.9,Bachelors,SQL,True,False,7,0,45.7,False,0.2,CAD,85637,0.0,8.8,7.4,4,True,9.1,5.1
Machine Learning Engineer,Entry,Full-time,M,NL,NL,Technology,0,3.9,Self-taught,Python,True,False,6,2,54.9,False,0.0,EUR,63446,0.071,12.9,6.9,7,True,19.1,6.6
AI Engineer,Entry,Full-time,L,US,BR,Consulting,50,3.6,Bachelors,Python,True,False,6,3,34.9,True,9.4,USD,92547,0.013,8.6,6.1,2,False,5.3,5.6
AI Engineer,Senior,Full-time,S,US,US,Energy,100,8.5,PhD,Python,True,False,8,4,49.5,True,7.3,USD,169313,0.0,9.9,7.8,7,False,7.7,6.1
Business Intelligence Analyst,Mid,Full-time,L,DE,DE,Finance,0,7.1,Masters,Python,False,False,2,1,39.7,True,5.7,EUR,74355,0.0,9.8,6.0,7,False,0.0,3.4
Computer Vision Engineer,Lead,Full-time,S,US,US,Technology,100,12.9,PhD,Python,True,True,12,1,48.9,True,3.8,USD,207529,0.451,15.1,7.0,3,False,3.5,1.8
Data Analyst,Senior,Full-time,M,BR,BR,Media,100,12.4,Bachelors,Java,False,True,10,6,48.1,True,13.1,BRL,29779,0.038,15.3,6.2,6,False,0.0,7.9
Computer Vision Engineer,Mid,Full-time,L,FR,GB,Media,100,7.0,Bachelors,Python,True,False,13,1,38.2,False,7.7,EUR,89600,0.055,4.3,6.0,4,False,5.2,3.9
Analytics Engineer,Senior,Full-time,S,NL,NL,Healthcare,50,13.1,Masters,Python,False,False,5,1,39.0,False,3.9,EUR,87299,0.316,15.9,4.9,7,False,9.2,4.9
Research Scientist,Senior,Full-time,L,DE,DE,Technology,0,12.0,Bachelors,Python,True,False,9,1,46.5,True,6.3,EUR,124075,0.0,10.6,5.1,4,True,15.4,4.2
Research Scientist,Senior,Full-time,L,CA,CA,Finance,50,9.2,Masters,Python,True,False,13,2,44.9,True,14.7,CAD,132418,0.043,8.5,6.6,3,False,6.9,3.5
AI Engineer,Lead,Full-time,S,US,US,Healthcare,50,20.4,Bachelors,Python,True,True,9,1,38.9,False,2.0,USD,214002,0.169,9.5,7.7,5,True,13.2,1.2
Computer Vision Engineer,Mid,Full-time,M,US,US,Technology,100,8.6,Masters,SQL,True,False,9,3,49.1,True,11.6,USD,223581,0.06,10.0,7.9,7,False,16.7,4.7
Data Analyst,Senior,Full-time,M,IN,IN,Finance,100,8.5,Bachelors,SQL,False,True,5,2,43.7,False,0.0,INR,28979,0.0,11.5,5.3,4,False,9.4,2.2
AI Engineer,Mid,Full-time,M,US,US,Finance,50,6.1,PhD,Python,True,False,13,0,40.3,False,2.9,USD,203974,0.13,0.9,9.6,4,False,7.8,5.5
LLM Engineer,Entry,Full-time,S,US,US,Finance,0,2.5,Bachelors,Java,True,False,15,1,44.7,False,3.9,USD,93722,0.638,6.8,7.8,2,False,12.2,5.0
Data Scientist,Senior,Full-time,M,GB,GB,Technology,50,9.3,Masters,R,False,False,10,1,48.3,False,2.2,GBP,109063,0.18,6.0,5.2,9,False,6.5,6.5
AI Engineer,Entry,Full-time,M,AU,AU,Energy,50,1.3,PhD,Python,True,False,8,1,51.1,False,4.4,AUD,79514,0.053,12.9,7.6,4,False,19.8,5.8
Data Engineer,Entry,Full-time,S,US,US,Manufacturing,50,2.8,Masters,SQL,False,False,6,2,44.9,False,0.2,USD,61316,0.492,10.1,6.0,5,False,3.3,3.9
Analytics Engineer,Senior,Full-time,L,DE,DE,Technology,50,7.2,PhD,Python,False,False,6,2,50.6,True,11.3,EUR,149355,0.052,8.7,6.1,10,True,6.2,6.2
Data Scientist,Lead,Full-time,L,FR,FR,Media,0,16.2,Masters,Python,False,True,7,2,45.4,True,10.4,EUR,138798,0.052,20.6,7.0,9,False,7.7,4.6
AI Engineer,Senior,Contract,M,FR,FR,Technology,50,10.5,PhD,Java,True,False,8,1,39.4,False,1.3,EUR,135891,0.0,14.1,6.5,6,False,17.3,4.4
Business Intelligence Analyst,Lead,Full-time,S,US,FR,Government,50,14.6,PhD,Python,False,True,8,3,46.2,False,2.5,USD,138564,0.0,14.3,6.9,8,True,5.1,4.6
AI Engineer,Mid,Full-time,M,DE,DE,Finance,0,5.8,Bachelors,Python,True,True,7,3,44.0,True,19.5,EUR,108545,0.134,1.5,7.2,1,False,7.6,2.3
Data Engineer,Mid,Full-time,M,BR,BR,Retail,100,7.3,Bachelors,R,False,False,6,1,48.1,True,18.5,BRL,35134,0.302,14.8,5.9,3,False,19.1,3.0
Research Scientist,Mid,Freelance,L,US,US,Finance,50,6.3,Masters,Python,True,False,9,2,28.6,True,4.9,USD,135653,0.015,11.8,8.2,1,False,11.2,3.2
Data Engineer,Entry,Full-time,M,US,US,Technology,0,3.8,Masters,Julia,False,False,9,1,48.2,False,0.8,USD,119243,0.036,11.5,6.0,6,False,12.0,4.0
Research Scientist,Entry,Full-time,M,GB,GB,Technology,50,3.5,PhD,Python,True,False,14,0,32.1,True,11.4,GBP,92945,0.077,2.0,7.2,2,True,5.8,5.5
Data Scientist,Mid,Full-time,L,AU,AU,Finance,100,6.9,Bootcamp,SQL,False,False,6,3,37.5,True,8.4,AUD,106852,0.05,8.1,7.5,5,False,5.8,5.2
Data Analyst,Lead,Full-time,S,BR,BR,Government,100,15.0,Masters,Python,False,True,5,3,45.1,True,5.2,BRL,30671,0.112,20.7,4.7,8,True,5.9,4.2
Data Scientist,Entry,Full-time,L,BR,US,Technology,100,5.1,Bootcamp,Python,False,False,13,2,45.7,True,12.3,BRL,29270,0.0,2.5,7.6,4,False,12.7,5.3
Data Scientist,Mid,Full-time,L,US,US,Finance,0,4.4,Masters,Python,False,False,10,1,45.9,True,13.4,USD,179175,0.0,18.8,7.4,2,False,11.0,7.3
AI Engineer,Executive,Full-time,M,US,US,Finance,100,21.1,Masters,Python,True,True,9,2,44.2,False,4.0,USD,271576,0.028,17.5,6.6,11,False,10.1,3.2
Data Analyst,Lead,Full-time,M,PL,PL,Technology,50,16.5,PhD,Python,False,True,8,0,53.4,True,6.6,PLN,71853,0.15,13.8,7.4,9,True,10.5,3.3
Machine Learning Engineer,Entry,Full-time,S,DE,DE,Consulting,0,2.8,Masters,Python,True,False,10,1,49.1,True,10.3,EUR,69077,0.922,8.6,5.8,3,True,17.9,4.6
Research Scientist,Senior,Contract,S,US,US,Technology,0,9.9,Masters,Python,True,False,10,4,40.0,True,9.0,USD,169616,0.661,10.9,7.5,8,False,10.6,5.8
Business Intelligence Analyst,Lead,Full-time,M,US,US,Retail,50,14.9,Masters,Python,False,True,10,2,46.9,False,4.4,USD,114968,0.07,10.8,8.1,9,False,14.2,2.8
Data Engineer,Entry,Full-time,M,BR,BR,Consulting,0,5.2,Masters,Python,False,False,10,1,42.5,True,5.0,BRL,26394,0.148,9.2,5.6,2,True,8.0,6.9
Data Engineer,Mid,Full-time,M,IN,IN,Technology,50,4.9,Bootcamp,Python,False,False,7,1,41.3,True,15.4,INR,44028,0.084,19.2,5.0,2,True,15.5,4.2
Data Engineer,Senior,Full-time,M,US,IN,Technology,100,10.6,Bachelors,Python,False,False,8,0,42.3,True,9.7,USD,129356,0.0,8.1,4.7,5,False,12.0,1.5
Data Scientist,Senior,Full-time,L,IN,IN,Consulting,50,12.6,Masters,SQL,False,False,8,3,43.5,True,14.6,INR,41160,0.0,7.3,5.2,3,False,10.3,2.2
Research Scientist,Lead,Full-time,M,AU,IN,Retail,0,17.5,Self-taught,Python,True,True,4,1,52.1,True,2.9,AUD,142928,0.051,13.5,8.6,6,False,8.1,4.7
LLM Engineer,Mid,Full-time,M,IN,IN,Education,0,5.4,PhD,Python,True,False,4,3,49.5,True,13.9,INR,33669,0.206,3.0,4.1,4,False,8.8,5.9
Machine Learning Engineer,Entry,Full-time,M,CA,CA,Healthcare,0,1.7,PhD,Python,True,False,6,2,39.4,True,20.0,CAD,75346,0.0,9.9,5.3,2,False,10.2,8.1
AI Engineer,Executive,Full-time,S,US,US,Manufacturing,0,18.1,Bachelors,Python,True,True,10,5,46.4,False,2.9,USD,200635,0.886,17.7,6.5,12,False,5.2,4.0
Data Science Manager,Mid,Full-time,M,GB,GB,Technology,100,6.4,Self-taught,Python,False,False,6,1,41.2,False,3.5,GBP,104928,0.096,5.0,7.1,6,False,9.0,1.3
MLOps Engineer,Senior,Full-time,S,GB,GB,Technology,100,8.5,Masters,Java,False,False,9,3,50.4,True,8.6,GBP,103017,0.143,17.5,6.4,10,False,18.1,3.9
Analytics Engineer,Lead,Part-time,S,ES,ES,Technology,50,11.1,PhD,Python,False,True,11,3,40.7,False,2.2,EUR,48800,0.838,15.0,7.4,3,False,7.5,6.7
Business Intelligence Analyst,Senior,Full-time,M,US,DE,Manufacturing,0,9.2,Bachelors,Python,False,False,9,3,44.8,False,0.0,USD,77799,0.165,19.5,8.1,3,False,6.3,5.1
Data Analyst,Mid,Full-time,S,US,DE,Healthcare,50,4.5,Bachelors,Python,False,False,7,1,45.5,False,3.7,USD,76052,0.392,9.6,7.4,4,True,7.4,8.2
Research Scientist,Mid,Full-time,L,GB,GB,Finance,50,6.4,Bootcamp,Python,True,False,6,1,49.1,True,11.9,GBP,102866,0.0,11.0,8.1,3,False,8.2,2.4
MLOps Engineer,Entry,Full-time,L,DE,DE,Technology,0,1.8,Masters,R,False,False,6,2,40.7,False,3.1,EUR,67582,0.021,6.7,7.9,5,False,6.5,7.4
LLM Engineer,Entry,Part-time,M,SG,SG,Media,0,3.9,Masters,Python,True,False,7,3,40.7,True,7.6,SGD,35214,0.0,5.8,6.0,5,True,11.4,3.5
Data Engineer,Senior,Full-time,M,SG,SG,Retail,0,13.9,Self-taught,SQL,False,False,8,4,51.3,True,17.9,SGD,86670,0.055,11.6,5.4,5,True,7.5,4.3
MLOps Engineer,Entry,Full-time,M,DE,DE,Healthcare,100,0.0,Masters,Python,False,False,6,2,38.5,True,6.8,EUR,86499,0.061,12.2,7.4,4,False,9.8,2.9
AI Engineer,Mid,Full-time,L,IN,IN,Finance,0,5.1,Masters,Python,True,False,11,2,48.8,True,18.2,INR,32018,0.041,9.1,6.1,10,False,9.9,2.9
Data Engineer,Mid,Full-time,S,US,US,Energy,0,5.5,Masters,Python,False,False,9,1,50.0,True,15.0,USD,115620,0.075,11.2,5.6,7,False,10.4,1.2
Data Scientist,Lead,Full-time,M,IN,IN,Government,100,12.7,Bachelors,Python,False,True,12,3,46.2,True,7.6,INR,48918,0.043,24.0,7.7,11,False,3.5,7.1
Data Engineer,Senior,Part-time,M,IN,IN,Finance,0,11.4,Bachelors,Scala,False,False,12,1,42.3,True,13.0,INR,37999,0.079,15.3,6.8,8,False,9.6,6.7
Data Science Manager,Senior,Full-time,L,US,US,Retail,0,10.2,Masters,Python,False,True,10,2,35.9,False,0.1,USD,200533,0.01,15.1,6.4,8,False,10.4,2.4
Data Analyst,Senior,Full-time,M,US,US,Technology,100,13.0,Self-taught,SQL,False,False,8,1,42.3,True,11.2,USD,123417,0.067,13.1,9.0,8,False,6.5,7.9
Data Scientist,Mid,Full-time,M,GB,IN,Finance,50,7.1,PhD,R,False,False,8,1,46.3,True,14.4,GBP,90938,0.039,5.8,7.3,5,False,4.8,3.9
Data Engineer,Senior,Full-time,S,US,US,Finance,100,11.6,Bootcamp,Python,False,False,8,2,42.8,True,14.8,USD,159096,0.641,17.0,5.9,2,False,11.4,7.0
Data Scientist,Entry,Full-time,M,US,US,Consulting,50,3.0,Masters,Python,False,False,6,2,40.2,False,4.3,USD,72876,0.057,3.6,5.6,2,False,15.0,2.8
